feature,mean_abs_shap
quantity_ordered,0.10820717401698013
complexity,0.041093598465595405
is_high_complexity,0.03845939557394284
is_supplier_c,0.014481755082916445
material_type,0.014048847915837291
machine_age_years,0.012259483111349119
operator_id,0.008771968300626895
std_labor_hrs,0.007837729242914114
shift_code,0.007220293733700069
is_bending_shift_b,0.004851543696252412
supplier,0.00445470686534355
machine_id,0.003867966231912892
requires_welding,0.003716282460733144
machine_type,0.0033753147337969125
schedule_variance_hrs,0.0013824010919326524
lot_cert_status,0.0008350212921434397
